source,pod,ext,name,role,x_order,y_order,image_position,nearby
fallback_visual_seed,POD 1,7001,高橋,Exec,3,1,"x=3, y=1",
fallback_visual_seed,POD 1,7002,佐藤,PM,2,1,"x=2, y=1",
fallback_visual_seed,POD 1,7003,鈴木,DS,1,2,"x=1, y=2",
fallback_visual_seed,POD 1,7005,藤田,BA,2,3,"x=2, y=3",
fallback_visual_seed,POD 1,7006,池田,QA,3,3,"x=3, y=3",
fallback_visual_seed,POD 2,7101,山田,Exec,3,1,"x=3, y=1",
fallback_visual_seed,POD 2,7102,伊藤,PM,2,1,"x=2, y=1",
fallback_visual_seed,POD 2,7103,渡辺,DS,1,2,"x=1, y=2",
fallback_visual_seed,POD 2,7104,斎藤,DE,2,3,"x=2, y=3",
fallback_visual_seed,POD 2,7105,井上,BA,3,3,"x=3, y=3",
fallback_visual_seed,POD 3,7201,中村,Exec,3,1,"x=3, y=1",
fallback_visual_seed,POD 3,7202,加藤,PM,2,1,"x=2, y=1",
fallback_visual_seed,POD 3,7203,山本,DS,1,2,"x=1, y=2",
fallback_visual_seed,POD 3,7204,岡田,DE,2,3,"x=2, y=3",
fallback_visual_seed,POD 3,7206,清水,QA,3,2,"x=3, y=2",
