project,contract_type,contract_amount_tax_in,upfront_amount,is_medical,approval_level,role_names
京橋信用ソリューションズ株式会社,fixed_price,5775000,2625000.0,False,部長承認,エグゼクティブスポンサー:山田 直樹 | プロジェクトマネージャー:佐藤 健一 | リードデータサイエンティスト:鈴木 美咲 | データエンジニア:斎藤 悠斗 | ビジネスアナリスト:井上 里奈 | QAレビューアー:池田 恒一
医療法人社団 恒一会 かえで総合病院,time_and_materials,3850000,,True,部長承認,エグゼクティブスポンサー:山田 直樹 | プロジェクトマネージャー:佐藤 健一 | リードデータサイエンティスト:山本 彩乃 | データエンジニア:斎藤 悠斗 | ビジネスアナリスト:松本 真央 | QAレビューア:池田 直哉
医療法人社団 蒼樹会 みなみ野女性医療センター,fixed_price,3960000,,True,部長承認,
医療法人社団 蒼泉会 ひがし丘総合病院,time_and_materials,4675000,,True,部長承認,エグゼクティブスポンサー:山田 直樹 | プロジェクトマネージャー:加藤 大輔 | リードデータサイエンティスト:山本 彩乃 | データエンジニア:斎藤 悠斗 | ビジネスアナリスト:藤田 彩 | QAレビューア:池田 直哉
株式会社東都人材プラットフォーム,time_and_materials,4675000,,False,部長承認,
株式会社青嶺不動産アセットマネジメント,time_and_materials,4675000,,False,部長承認,エグゼクティブスポンサー:中村 誠 | プロジェクトマネージャー:佐藤 健一 | リードデータサイエンティスト:渡辺 遥 | データエンジニア:岡田 佑樹 | ビジネスアナリスト:藤田 彩 | QAレビューア:小林 直樹
株式会社青潮モビリティサービス,time_and_materials,4675000,,False,部長承認,エグゼクティブスポンサー:中村 誠 | プロジェクトマネージャー:伊藤 翔太 | リードデータサイエンティスト:鈴木 美咲 | データエンジニア:木村 拓海 | ビジネスアナリスト:藤田 彩 | QAレビューア:池田 直哉
株式会社青葉バイオメディカル機器,time_and_materials,3740000,,False,部長承認,エグゼクティブスポンサー:中村 誠 | プロジェクトマネージャー:加藤 大輔 | リードデータサイエンティスト:渡辺 遥 | データエンジニア:斎藤 悠斗 | ビジネスアナリスト:井上 里奈 | QAレビューア:清水 麻衣
株式会社青葉バイオメディカル機器,time_and_materials,3740000,,False,部長承認,エグゼクティブスポンサー:中村 誠 | プロジェクトマネージャー:加藤 大輔 | リードデータサイエンティスト:渡辺 遥 | データエンジニア:斎藤 悠斗 | ビジネスアナリスト:井上 里奈 | QAレビューア:清水 麻衣
白峰信用リスク評価株式会社,fixed_price,7480000,2720000.0,False,部長承認,エグゼクティブスポンサー:中村 誠 | プロジェクトマネージャー:伊藤 翔太 | リードデータサイエンティスト:山本 彩乃 | データエンジニア:斎藤 悠斗 | ビジネスアナリスト:松本 真央 | QAレビューア:池田 恒一
青葉与信マネジメント株式会社,fixed_price,4620000,2100000.0,False,課長承認,プロジェクトマネージャー:伊藤 翔太
